sentence,start_index,stop_index
Je planifie un trajet de Argenteuil à Grenoble.,"(25, 35)","(38, 46)"
Départ de Brest à Toulouse.,"(10, 15)","(18, 26)"
Voyage sans escale de Mulhouse à Saint-Denis.,"(22, 30)","(33, 44)"
Je veux aller de Caen à Lille.,"(17, 21)","(24, 29)"
Je commence mon périple à Aix-en-Provence pour finir à Reims.,"(26, 41)","(55, 60)"
Odyssée depuis Saint-Paul en direction de Nancy.,"(15, 25)","(42, 47)"
Voyage sans escale de Angers à Vitry-sur-Seine.,"(22, 28)","(31, 46)"
J'envisage un déplacement de Besançon à Saint-Denis.,"(29, 37)","(40, 51)"
Mon départ est prévu de Lyon à destination de Perpignan.,"(24, 28)","(46, 55)"
J'envisage un déplacement de Nouméa à Poitiers.,"(29, 35)","(38, 46)"
Voyage sans escale de Le Mans à Clermont-Ferrand.,"(22, 29)","(32, 48)"
Mon départ est prévu de Nouméa à destination de Dunkerque.,"(24, 30)","(48, 57)"
Périples de Toulon à Dunkerque.,"(12, 18)","(21, 30)"
Je m'apprête à partir de Paris à Bordeaux.,"(25, 30)","(33, 41)"
Trajet initial de Orléans en direction de Perpignan.,"(18, 25)","(42, 51)"
Je m'apprête à partir de Mulhouse à Le Havre.,"(25, 33)","(36, 44)"
Mon voyage débute à Tourcoing et se termine à Montreuil.,"(20, 29)","(46, 55)"
Mon départ est prévu de Villeurbanne à destination de Paris.,"(24, 36)","(54, 59)"
J'envisage un déplacement de Toulon à Nancy.,"(29, 35)","(38, 43)"
Je pars de Marseille pour arriver à Roubaix.,"(11, 20)","(36, 43)"
Voyage sans escale de Créteil à Roubaix.,"(22, 29)","(32, 39)"
Je commence mon périple à Vitry-sur-Seine pour finir à Orléans.,"(26, 41)","(55, 62)"
Je vais partir de Roubaix à destination de Tourcoing.,"(18, 25)","(43, 52)"
Randonnée de Dijon jusqu'à Limoges.,"(13, 18)","(27, 34)"
Odyssée depuis Grenoble en direction de Tours.,"(15, 23)","(40, 45)"
Départ de Boulogne-Billancourt à Orléans.,"(10, 30)","(33, 40)"
Je pars de Brest pour arriver à Vitry-sur-Seine.,"(11, 16)","(32, 47)"
Départ de Montreuil pour un voyage direct à Nice.,"(10, 19)","(44, 48)"
Je commence mon périple à Annecy pour finir à Le Mans.,"(26, 32)","(46, 53)"
Je planifie un trajet de Créteil à Dijon.,"(25, 32)","(35, 40)"
Je projette de quitter Annecy pour Nouméa.,"(23, 29)","(35, 41)"
Je commence mon périple à Argenteuil pour finir à Lyon.,"(26, 36)","(50, 54)"
Mon départ est prévu de Poitiers à destination de Annecy.,"(24, 32)","(50, 56)"
Il est prévu que je me rende de Perpignan à Montpellier.,"(32, 41)","(44, 55)"
Je m'apprête à partir de Saint-Étienne à Tours.,"(25, 38)","(41, 46)"
Je vais partir de Nouméa à destination de Saint-Denis.,"(18, 24)","(42, 53)"
Je souhaite me rendre de Saint-Étienne à Boulogne-Billancourt.,"(25, 38)","(41, 61)"
Mon départ est prévu de Saint-Paul à destination de Caen.,"(24, 34)","(52, 56)"
Randonnée de Lyon jusqu'à Annecy.,"(13, 17)","(26, 32)"
Promenade depuis Metz vers Villeurbanne.,"(17, 21)","(27, 39)"
Je souhaite me rendre de Toulouse à Nanterre.,"(25, 33)","(36, 44)"
Je vais de Lille à Montpellier.,"(11, 16)","(19, 30)"
Randonnée de Bordeaux jusqu'à Nantes.,"(13, 21)","(30, 36)"
Départ de Toulouse à Nice.,"(10, 18)","(21, 25)"
Odyssée depuis Lille en direction de Nice.,"(15, 20)","(37, 41)"
Je commence mon périple à Marseille pour finir à Vitry-sur-Seine.,"(26, 35)","(49, 64)"
Départ de Saint-Étienne pour un voyage direct à Toulouse.,"(10, 23)","(48, 56)"
Voyage sans escale de Paris à Limoges.,"(22, 27)","(30, 37)"
Aventure de Toulouse à Le Mans.,"(12, 20)","(23, 30)"
Trajet initial de Lyon en direction de Grenoble.,"(18, 22)","(39, 47)"
Voyage sans escale de Reims à Avignon.,"(22, 27)","(30, 37)"
Départ de Orléans pour un voyage direct à Limoges.,"(10, 17)","(42, 49)"
Je m'apprête à partir de Le Havre à Perpignan.,"(25, 33)","(36, 45)"
Je suis en route de Amiens vers Nancy.,"(20, 26)","(32, 37)"
Escapade de Strasbourg à Nancy.,"(12, 22)","(25, 30)"
Je planifie de me déplacer de Saint-Paul vers Strasbourg.,"(30, 40)","(46, 56)"
Départ de Saint-Denis à Nanterre.,"(10, 21)","(24, 32)"
Je dois me déplacer de Saint-Denis à Montpellier.,"(23, 34)","(37, 48)"
Mon départ est prévu de Argenteuil à destination de Le Havre.,"(24, 34)","(52, 60)"
Mon itinéraire est de Orléans à Dijon.,"(22, 29)","(32, 37)"
Périples de Créteil à Nice.,"(12, 19)","(22, 26)"
Je vais partir de Caen à destination de Dunkerque.,"(18, 22)","(40, 49)"
Je planifie un trajet de Villeurbanne à Tourcoing.,"(25, 37)","(40, 49)"
Je dois me déplacer de Lyon à Tours.,"(23, 27)","(30, 35)"
Je vais de Strasbourg à Lille.,"(11, 21)","(24, 29)"
Odyssée depuis Saint-Étienne en direction de Bordeaux.,"(15, 28)","(45, 53)"
Je dois me déplacer de Poitiers à Argenteuil.,"(23, 31)","(34, 44)"
Je commence mon périple à Nouméa pour finir à Nantes.,"(26, 32)","(46, 52)"
Escapade de Mulhouse à Bordeaux.,"(12, 20)","(23, 31)"
Voyage sans escale de Rennes à Nice.,"(22, 28)","(31, 35)"
Randonnée de Lyon jusqu'à Nancy.,"(13, 17)","(26, 31)"
Randonnée de Nanterre jusqu'à Dunkerque.,"(13, 21)","(30, 39)"
Promenade depuis Avignon vers Mulhouse.,"(17, 24)","(30, 38)"
Je commence mon périple à Boulogne-Billancourt pour finir à Paris.,"(26, 46)","(60, 65)"
Je m'apprête à partir de Nancy à Boulogne-Billancourt.,"(25, 30)","(33, 53)"
Départ de Roubaix à Saint-Paul.,"(10, 17)","(20, 30)"
Je commence mon périple à Saint-Étienne pour finir à Dunkerque.,"(26, 39)","(53, 62)"
Mon départ est prévu de Toulon à destination de Nancy.,"(24, 30)","(48, 53)"
Parti de Boulogne-Billancourt pour atteindre Limoges.,"(9, 29)","(45, 52)"
Je commence mon périple à Nice pour finir à Créteil.,"(26, 30)","(44, 51)"
Voyage sans escale de Argenteuil à Lille.,"(22, 32)","(35, 40)"
Je souhaite me rendre de Clermont-Ferrand à Annecy.,"(25, 41)","(44, 50)"
J'envisage un déplacement de Clermont-Ferrand à Amiens.,"(29, 45)","(48, 54)"
Je vais de Saint-Étienne à Marseille.,"(11, 24)","(27, 36)"
Je quitte Amiens pour Reims.,"(10, 16)","(22, 27)"
Je dois me déplacer de Créteil à Paris.,"(23, 30)","(33, 38)"
Je vais partir de Toulouse à destination de Reims.,"(18, 26)","(44, 49)"
Odyssée depuis Nantes en direction de Nouméa.,"(15, 21)","(38, 44)"
Je pars de Dijon pour arriver à Brest.,"(11, 16)","(32, 37)"
Course rapide de Lyon à Dunkerque.,"(17, 21)","(24, 33)"
Je suis en route de Vitry-sur-Seine vers Reims.,"(20, 35)","(41, 46)"
Mon départ est prévu de Annecy à destination de Paris.,"(24, 30)","(48, 53)"
Course rapide de Angers à Villeurbanne.,"(17, 23)","(26, 38)"
Je dois effectuer le trajet de Perpignan à Nanterre.,"(31, 40)","(43, 51)"
Aventure de Roubaix à Nancy.,"(12, 19)","(22, 27)"
Promenade depuis Metz vers Clermont-Ferrand.,"(17, 21)","(27, 43)"
Je compte quitter Saint-Paul pour Argenteuil.,"(18, 28)","(34, 44)"
Mon intention est de voyager de Villeurbanne à Reims.,"(32, 44)","(47, 52)"
Mon départ est prévu de Metz à destination de Brest.,"(24, 28)","(46, 51)"
Je planifie un trajet de Caen à Limoges.,"(25, 29)","(32, 39)"
Périples de Montpellier à Clermont-Ferrand.,"(12, 23)","(26, 42)"
Je quitte Tours pour Nanterre.,"(10, 15)","(21, 29)"
Trajet initial de Villeurbanne en direction de Le Mans.,"(18, 30)","(47, 54)"
Départ de Mulhouse à Boulogne-Billancourt.,"(10, 18)","(21, 41)"
Mon voyage débute à Reims et se termine à Mulhouse.,"(20, 25)","(42, 50)"
Je m'apprête à partir de Saint-Denis à Clermont-Ferrand.,"(25, 36)","(39, 55)"
Course rapide de Boulogne-Billancourt à Villeurbanne.,"(17, 37)","(40, 52)"
Je projette de quitter Perpignan pour Limoges.,"(23, 32)","(38, 45)"
Promenade depuis Le Mans vers Nanterre.,"(17, 24)","(30, 38)"
J'envisage un déplacement de Nanterre à Reims.,"(29, 37)","(40, 45)"
Mon itinéraire est de Lille à Nouméa.,"(22, 27)","(30, 36)"
Je commence mon périple à Caen pour finir à Dijon.,"(26, 30)","(44, 49)"
Escapade de Brest à Dijon.,"(12, 17)","(20, 25)"
J'envisage un déplacement de Besançon à Angers.,"(29, 37)","(40, 46)"
Mon intention est de voyager de Limoges à Metz.,"(32, 39)","(42, 46)"
Je quitte Boulogne-Billancourt pour Toulouse.,"(10, 30)","(36, 44)"
Voyage sans escale de Metz à Nîmes.,"(22, 26)","(29, 34)"
Mon intention est de voyager de Saint-Étienne à Avignon.,"(32, 45)","(48, 55)"
Mon itinéraire est de Angers à Caen.,"(22, 28)","(31, 35)"
Je dois effectuer le trajet de Tourcoing à Nancy.,"(31, 40)","(43, 48)"
Randonnée de Rennes jusqu'à Reims.,"(13, 19)","(28, 33)"
Je projette de quitter Vitry-sur-Seine pour Argenteuil.,"(23, 38)","(44, 54)"
Je planifie de me déplacer de Besançon vers Rennes.,"(30, 38)","(44, 50)"
Départ de Paris à Nice.,"(10, 15)","(18, 22)"
Je vais partir de Créteil à destination de Mulhouse.,"(18, 25)","(43, 51)"
Trajet initial de Caen en direction de Toulouse.,"(18, 22)","(39, 47)"
Mon voyage débute à Boulogne-Billancourt et se termine à Marseille.,"(20, 40)","(57, 66)"
Voyage sans escale de Créteil à Saint-Paul.,"(22, 29)","(32, 42)"
Je vais partir de Clermont-Ferrand à destination de Angers.,"(18, 34)","(52, 58)"
Je quitte Limoges pour Metz.,"(10, 17)","(23, 27)"
Je dois effectuer le trajet de Saint-Denis à Lille.,"(31, 42)","(45, 50)"
Je planifie de me déplacer de Poitiers vers Orléans.,"(30, 38)","(44, 51)"
Je veux aller de Metz à Aix-en-Provence.,"(17, 21)","(24, 39)"
Voyage sans escale de Saint-Étienne à Toulon.,"(22, 35)","(38, 44)"
Je vais de Caen à Bordeaux.,"(11, 15)","(18, 26)"
Je vais partir de Caen à destination de Vitry-sur-Seine.,"(18, 22)","(40, 55)"
Départ de Lille pour un voyage direct à Le Mans.,"(10, 15)","(40, 47)"
Je commence mon périple à Rennes pour finir à Saint-Paul.,"(26, 32)","(46, 56)"
J'envisage un déplacement de Besançon à Le Havre.,"(29, 37)","(40, 48)"
Aventure de Grenoble à Nice.,"(12, 20)","(23, 27)"
Course rapide de Lille à Saint-Paul.,"(17, 22)","(25, 35)"
Je m'apprête à partir de Orléans à Caen.,"(25, 32)","(35, 39)"
Parti de Paris pour atteindre Nancy.,"(9, 14)","(30, 35)"
Je pars de Nîmes pour arriver à Limoges.,"(11, 16)","(32, 39)"
Mon intention est de voyager de Bordeaux à Roubaix.,"(32, 40)","(43, 50)"
Je planifie un trajet de Le Mans à Perpignan.,"(25, 32)","(35, 44)"
Parti de Nîmes pour atteindre Caen.,"(9, 14)","(30, 34)"
Je veux aller de Nanterre à Le Mans.,"(17, 25)","(28, 35)"
Je vais partir de Créteil à destination de Reims.,"(18, 25)","(43, 48)"
Mon voyage débute à Reims et se termine à Amiens.,"(20, 25)","(42, 48)"
Je pars de Vitry-sur-Seine pour arriver à Dijon.,"(11, 26)","(42, 47)"
Mon intention est de voyager de Montpellier à Boulogne-Billancourt.,"(32, 43)","(46, 66)"
Je m'apprête à partir de Nouméa à Saint-Étienne.,"(25, 31)","(34, 47)"
Je vais de Nîmes à Boulogne-Billancourt.,"(11, 16)","(19, 39)"
Trajet initial de Strasbourg en direction de Brest.,"(18, 28)","(45, 50)"
Je pars de Poitiers pour arriver à Perpignan.,"(11, 19)","(35, 44)"
Il est prévu que je me rende de Roubaix à Nîmes.,"(32, 39)","(42, 47)"
Je planifie un trajet de Aix-en-Provence à Nantes.,"(25, 40)","(43, 49)"
Randonnée de Boulogne-Billancourt jusqu'à Bordeaux.,"(13, 33)","(42, 50)"
Je planifie de me déplacer de Roubaix vers Strasbourg.,"(30, 37)","(43, 53)"
Je veux aller de Montreuil à Toulon.,"(17, 26)","(29, 35)"
Départ de Marseille pour un voyage direct à Annecy.,"(10, 19)","(44, 50)"
Je dois effectuer le trajet de Rouen à Rennes.,"(31, 36)","(39, 45)"
Je m'apprête à partir de Le Havre à Limoges.,"(25, 33)","(36, 43)"
Il est prévu que je me rende de Rennes à Annecy.,"(32, 38)","(41, 47)"
Odyssée depuis Le Havre en direction de Créteil.,"(15, 23)","(40, 47)"
Je planifie un trajet de Tourcoing à Bordeaux.,"(25, 34)","(37, 45)"
Départ de Metz pour un voyage direct à Villeurbanne.,"(10, 14)","(39, 51)"
Je suis en route de Metz vers Lyon.,"(20, 24)","(30, 34)"
Je veux aller de Montreuil à Nice.,"(17, 26)","(29, 33)"
Parti de Nîmes pour atteindre Lyon.,"(9, 14)","(30, 34)"
Il est prévu que je me rende de Bordeaux à Paris.,"(32, 40)","(43, 48)"
Course rapide de Tourcoing à Dijon.,"(17, 26)","(29, 34)"
Je compte quitter Marseille pour Annecy.,"(18, 27)","(33, 39)"
Périples de Toulouse à Besançon.,"(12, 20)","(23, 31)"
J'envisage un déplacement de Mulhouse à Lyon.,"(29, 37)","(40, 44)"
Aventure de Caen à Lille.,"(12, 16)","(19, 24)"
Je quitte Rennes pour Amiens.,"(10, 16)","(22, 28)"
Mon voyage débute à Nantes et se termine à Bordeaux.,"(20, 26)","(43, 51)"
Je compte quitter Lyon pour Rennes.,"(18, 22)","(28, 34)"
Trajet initial de Mulhouse en direction de Rouen.,"(18, 26)","(43, 48)"
Promenade depuis Dijon vers Tourcoing.,"(17, 22)","(28, 37)"
Randonnée de Nouméa jusqu'à Poitiers.,"(13, 19)","(28, 36)"
Je planifie de me déplacer de Marseille vers Reims.,"(30, 39)","(45, 50)"
Je prévois de voyager de Saint-Denis à Le Havre.,"(25, 36)","(39, 47)"
Je vais partir de Bordeaux à destination de Limoges.,"(18, 26)","(44, 51)"
Je planifie un trajet de Clermont-Ferrand à Nîmes.,"(25, 41)","(44, 49)"
Course rapide de Aix-en-Provence à Saint-Denis.,"(17, 32)","(35, 46)"
Mon départ est prévu de Le Mans à destination de Annecy.,"(24, 31)","(49, 55)"
Je dois me déplacer de Lyon à Nantes.,"(23, 27)","(30, 36)"
Odyssée depuis Nîmes en direction de Mulhouse.,"(15, 20)","(37, 45)"
Départ de Nouméa à Saint-Denis.,"(10, 16)","(19, 30)"
Je planifie de me déplacer de Orléans vers Angers.,"(30, 37)","(43, 49)"
Je prévois de voyager de Strasbourg à Saint-Étienne.,"(25, 35)","(38, 51)"
Randonnée de Montpellier jusqu'à Metz.,"(13, 24)","(33, 37)"
Odyssée depuis Besançon en direction de Reims.,"(15, 23)","(40, 45)"
Je commence mon périple à Grenoble pour finir à Vitry-sur-Seine.,"(26, 34)","(48, 63)"
Je dois effectuer le trajet de Marseille à Amiens.,"(31, 40)","(43, 49)"
Escapade de Metz à Dijon.,"(12, 16)","(19, 24)"
Aventure de Clermont-Ferrand à Villeurbanne.,"(12, 28)","(31, 43)"
Je souhaite me rendre de Dijon à Caen.,"(25, 30)","(33, 37)"
Promenade depuis Paris vers Reims.,"(17, 22)","(28, 33)"
Périples de Nîmes à Rouen.,"(12, 17)","(20, 25)"
Je dois me déplacer de Orléans à Annecy.,"(23, 30)","(33, 39)"
Je m'apprête à partir de Aix-en-Provence à Saint-Étienne.,"(25, 40)","(43, 56)"
Randonnée de Le Havre jusqu'à Rennes.,"(13, 21)","(30, 36)"
Je souhaite me rendre de Poitiers à Caen.,"(25, 33)","(36, 40)"
Je projette de quitter Roubaix pour Strasbourg.,"(23, 30)","(36, 46)"
Je projette de quitter Bordeaux pour Perpignan.,"(23, 31)","(37, 46)"
Je m'apprête à partir de Lyon à Toulouse.,"(25, 29)","(32, 40)"
Je pars de Tours pour arriver à Angers.,"(11, 16)","(32, 38)"
Trajet initial de Tours en direction de Metz.,"(18, 23)","(40, 44)"
Je dois me déplacer de Tours à Dunkerque.,"(23, 28)","(31, 40)"
Je vais de Le Havre à Brest.,"(11, 19)","(22, 27)"
Départ de Grenoble à Mulhouse.,"(10, 18)","(21, 29)"
Je commence mon périple à Brest pour finir à Rouen.,"(26, 31)","(45, 50)"
Parti de Bordeaux pour atteindre Besançon.,"(9, 17)","(33, 41)"
Départ de Perpignan à Limoges.,"(10, 19)","(22, 29)"
Je vais partir de Avignon à destination de Boulogne-Billancourt.,"(18, 25)","(43, 63)"
Escapade de Paris à Le Havre.,"(12, 17)","(20, 28)"
Je projette de quitter Avignon pour Nouméa.,"(23, 30)","(36, 42)"
Mon voyage débute à Argenteuil et se termine à Villeurbanne.,"(20, 30)","(47, 59)"
Mon intention est de voyager de Marseille à Brest.,"(32, 41)","(44, 49)"
Parti de Saint-Étienne pour atteindre Tourcoing.,"(9, 22)","(38, 47)"
Je commence mon périple à Boulogne-Billancourt pour finir à Caen.,"(26, 46)","(60, 64)"
Je planifie de me déplacer de Le Havre vers Lyon.,"(30, 38)","(44, 48)"
Départ de Bordeaux à Metz.,"(10, 18)","(21, 25)"
Je veux aller de Poitiers à Nîmes.,"(17, 25)","(28, 33)"
Mon départ est prévu de Montreuil à destination de Nancy.,"(24, 33)","(51, 56)"
Je dois me déplacer de Metz à Grenoble.,"(23, 27)","(30, 38)"
Trajet initial de Angers en direction de Limoges.,"(18, 24)","(41, 48)"
Course rapide de Orléans à Saint-Paul.,"(17, 24)","(27, 37)"
Aventure de Dunkerque à Saint-Paul.,"(12, 21)","(24, 34)"
Il est prévu que je me rende de Le Mans à Saint-Paul.,"(32, 39)","(42, 52)"
Je pars de Nanterre pour arriver à Nîmes.,"(11, 19)","(35, 40)"
Trajet initial de Saint-Paul en direction de Besançon.,"(18, 28)","(45, 53)"
Promenade depuis Caen vers Saint-Denis.,"(17, 21)","(27, 38)"
Je planifie de me déplacer de Lyon vers Vitry-sur-Seine.,"(30, 34)","(40, 55)"
Je veux aller de Nîmes à Limoges.,"(17, 22)","(25, 32)"
Périples de Le Havre à Metz.,"(12, 20)","(23, 27)"
Je dois effectuer le trajet de Tours à Clermont-Ferrand.,"(31, 36)","(39, 55)"
Odyssée depuis Le Mans en direction de Marseille.,"(15, 22)","(39, 48)"
Mon itinéraire est de Saint-Denis à Dunkerque.,"(22, 33)","(36, 45)"
Je planifie un trajet de Saint-Denis à Nanterre.,"(25, 36)","(39, 47)"
Voyage sans escale de Dijon à Mulhouse.,"(22, 27)","(30, 38)"
Je quitte Toulon pour Clermont-Ferrand.,"(10, 16)","(22, 38)"
Mon itinéraire est de Aix-en-Provence à Angers.,"(22, 37)","(40, 46)"
Je dois me déplacer de Le Havre à Nanterre.,"(23, 31)","(34, 42)"
Je compte quitter Reims pour Saint-Paul.,"(18, 23)","(29, 39)"
Je planifie un trajet de Poitiers à Limoges.,"(25, 33)","(36, 43)"
Odyssée depuis Saint-Denis en direction de Montreuil.,"(15, 26)","(43, 52)"
Je quitte Grenoble pour Nantes.,"(10, 18)","(24, 30)"
Je m'apprête à partir de Lyon à Argenteuil.,"(25, 29)","(32, 42)"
Aventure de Metz à Boulogne-Billancourt.,"(12, 16)","(19, 39)"
Voyage sans escale de Clermont-Ferrand à Saint-Étienne.,"(22, 38)","(41, 54)"
Départ de Strasbourg à Poitiers.,"(10, 20)","(23, 31)"
Mon itinéraire est de Perpignan à Brest.,"(22, 31)","(34, 39)"
Départ de Mulhouse pour un voyage direct à Créteil.,"(10, 18)","(43, 50)"
Je quitte Bordeaux pour Montpellier.,"(10, 18)","(24, 35)"
Mon voyage débute à Grenoble et se termine à Créteil.,"(20, 28)","(45, 52)"
Mon itinéraire est de Tours à Roubaix.,"(22, 27)","(30, 37)"
Aventure de Marseille à Saint-Paul.,"(12, 21)","(24, 34)"
Randonnée de Montreuil jusqu'à Marseille.,"(13, 22)","(31, 40)"
Parti de Montpellier pour atteindre Marseille.,"(9, 20)","(36, 45)"
Je pars de Le Mans pour arriver à Nîmes.,"(11, 18)","(34, 39)"
Trajet initial de Tours en direction de Mulhouse.,"(18, 23)","(40, 48)"
Je compte quitter Villeurbanne pour Nancy.,"(18, 30)","(36, 41)"
Odyssée depuis Roubaix en direction de Saint-Étienne.,"(15, 22)","(39, 52)"
Je vais de Clermont-Ferrand à Tourcoing.,"(11, 27)","(30, 39)"
Mon voyage débute à Montreuil et se termine à Angers.,"(20, 29)","(46, 52)"
Randonnée de Le Mans jusqu'à Lille.,"(13, 20)","(29, 34)"
Je dois effectuer le trajet de Marseille à Dijon.,"(31, 40)","(43, 48)"
Parti de Boulogne-Billancourt pour atteindre Saint-Étienne.,"(9, 29)","(45, 58)"
Je planifie un trajet de Montpellier à Lille.,"(25, 36)","(39, 44)"
Randonnée de Rennes jusqu'à Saint-Paul.,"(13, 19)","(28, 38)"
Course rapide de Saint-Denis à Montreuil.,"(17, 28)","(31, 40)"
Voyage sans escale de Lyon à Orléans.,"(22, 26)","(29, 36)"
Je commence mon périple à Aix-en-Provence pour finir à Villeurbanne.,"(26, 41)","(55, 67)"
Je prévois de voyager de Dunkerque à Nîmes.,"(25, 34)","(37, 42)"
Escapade de Toulon à Perpignan.,"(12, 18)","(21, 30)"
Aventure de Grenoble à Limoges.,"(12, 20)","(23, 30)"
Je dois effectuer le trajet de Argenteuil à Bordeaux.,"(31, 41)","(44, 52)"
Aventure de Toulouse à Grenoble.,"(12, 20)","(23, 31)"
Je pars de Mulhouse pour arriver à Montreuil.,"(11, 19)","(35, 44)"
Je veux aller de Le Mans à Marseille.,"(17, 24)","(27, 36)"
Mon départ est prévu de Grenoble à destination de Lille.,"(24, 32)","(50, 55)"
Je commence mon périple à Strasbourg pour finir à Nouméa.,"(26, 36)","(50, 56)"
Randonnée de Lille jusqu'à Toulon.,"(13, 18)","(27, 33)"
Mon départ est prévu de Toulouse à destination de Amiens.,"(24, 32)","(50, 56)"
Je prévois de voyager de Avignon à Le Mans.,"(25, 32)","(35, 42)"
Voyage sans escale de Toulouse à Saint-Étienne.,"(22, 30)","(33, 46)"
Je dois me déplacer de Vitry-sur-Seine à Annecy.,"(23, 38)","(41, 47)"
Voyage sans escale de Lille à Mulhouse.,"(22, 27)","(30, 38)"
Escapade de Nanterre à Créteil.,"(12, 20)","(23, 30)"
Je veux aller de Aix-en-Provence à Tours.,"(17, 32)","(35, 40)"
Je quitte Caen pour Angers.,"(10, 14)","(20, 26)"
Escapade de Bordeaux à Brest.,"(12, 20)","(23, 28)"
Je suis en route de Nouméa vers Aix-en-Provence.,"(20, 26)","(32, 47)"
Randonnée de Mulhouse jusqu'à Lyon.,"(13, 21)","(30, 34)"
Périples de Nice à Perpignan.,"(12, 16)","(19, 28)"
Escapade de Nanterre à Créteil.,"(12, 20)","(23, 30)"
Mon voyage débute à Tours et se termine à Montpellier.,"(20, 25)","(42, 53)"
Mon itinéraire est de Nîmes à Mulhouse.,"(22, 27)","(30, 38)"
Odyssée depuis Reims en direction de Metz.,"(15, 20)","(37, 41)"
Promenade depuis Créteil vers Metz.,"(17, 24)","(30, 34)"
Je vais de Nancy à Montreuil.,"(11, 16)","(19, 28)"
Parti de Saint-Paul pour atteindre Bordeaux.,"(9, 19)","(35, 43)"
Départ de Saint-Paul à Roubaix.,"(10, 20)","(23, 30)"
Mon départ est prévu de Argenteuil à destination de Nîmes.,"(24, 34)","(52, 57)"
Course rapide de Amiens à Dijon.,"(17, 23)","(26, 31)"
Je dois me déplacer de Clermont-Ferrand à Annecy.,"(23, 39)","(42, 48)"
Je souhaite me rendre de Créteil à Le Mans.,"(25, 32)","(35, 42)"
Je vais partir de Tours à destination de Avignon.,"(18, 23)","(41, 48)"
Je projette de quitter Reims pour Nice.,"(23, 28)","(34, 38)"
Je projette de quitter Roubaix pour Grenoble.,"(23, 30)","(36, 44)"
Départ de Lille à Brest.,"(10, 15)","(18, 23)"
Odyssée depuis Le Mans en direction de Nanterre.,"(15, 22)","(39, 47)"
Je m'apprête à partir de Mulhouse à Nancy.,"(25, 33)","(36, 41)"
Parti de Roubaix pour atteindre Créteil.,"(9, 16)","(32, 39)"
Je vais partir de Nantes à destination de Besançon.,"(18, 24)","(42, 50)"
Promenade depuis Grenoble vers Nanterre.,"(17, 25)","(31, 39)"
Je dois effectuer le trajet de Nice à Dijon.,"(31, 35)","(38, 43)"
Je dois effectuer le trajet de Argenteuil à Metz.,"(31, 41)","(44, 48)"
Je prévois de voyager de Aix-en-Provence à Metz.,"(25, 40)","(43, 47)"
Je veux aller de Perpignan à Angers.,"(17, 26)","(29, 35)"
Départ de Toulouse à Lille.,"(10, 18)","(21, 26)"
Je quitte Perpignan pour Nanterre.,"(10, 19)","(25, 33)"
Je commence mon périple à Le Havre pour finir à Bordeaux.,"(26, 34)","(48, 56)"
J'envisage un déplacement de Avignon à Lille.,"(29, 36)","(39, 44)"
Périples de Le Mans à Le Havre.,"(12, 19)","(22, 30)"
Je planifie de me déplacer de Strasbourg vers Saint-Denis.,"(30, 40)","(46, 57)"
Course rapide de Tourcoing à Poitiers.,"(17, 26)","(29, 37)"
Mon départ est prévu de Rouen à destination de Le Havre.,"(24, 29)","(47, 55)"
Aventure de Avignon à Toulon.,"(12, 19)","(22, 28)"
Je planifie un trajet de Montpellier à Paris.,"(25, 36)","(39, 44)"
Randonnée de Vitry-sur-Seine jusqu'à Poitiers.,"(13, 28)","(37, 45)"
